epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.495,0.8223,3.88772,0.98014,0.0932,0.21363,0.08353,0.07164,0.68939,2.68963,1.02842,0.003328,0.003328,0.003328
2,238.911,0.75335,2.26131,0.98614,0.57844,0.54594,0.54507,0.47111,0.63443,1.61601,1.00469,0.00659539,0.00659539,0.00659539
3,350.604,0.75398,1.52932,0.98975,0.71874,0.65978,0.68742,0.58778,0.63217,1.16198,0.99781,0.00979677,0.00979677,0.00979677
4,459.307,0.7086,1.22592,0.97297,0.75303,0.72906,0.74604,0.63868,0.60096,0.97769,0.99991,0.009703,0.009703,0.009703
5,568.001,0.64,1.00976,0.9471,0.78281,0.77957,0.77357,0.68053,0.5246,0.83284,0.95513,0.009604,0.009604,0.009604
6,676.271,0.59859,0.89641,0.93519,0.79869,0.80631,0.79347,0.7027,0.50605,0.75994,0.95158,0.009505,0.009505,0.009505
7,783.595,0.56924,0.8241,0.92037,0.80813,0.82094,0.79948,0.71231,0.48235,0.71076,0.9504,0.009406,0.009406,0.009406
8,890.871,0.54554,0.76803,0.91466,0.80709,0.82235,0.80007,0.71981,0.46606,0.71337,0.94118,0.009307,0.009307,0.009307
9,998.105,0.52988,0.73055,0.90629,0.81428,0.83089,0.80443,0.72614,0.45106,0.70099,0.93292,0.009208,0.009208,0.009208
10,1105.31,0.51431,0.68571,0.90145,0.82032,0.83649,0.81383,0.73635,0.43671,0.649,0.92745,0.009109,0.009109,0.009109
11,1212.65,0.50415,0.66612,0.89802,0.80757,0.85012,0.81269,0.73767,0.43677,0.6712,0.92348,0.00901,0.00901,0.00901
12,1319.89,0.49419,0.64131,0.89379,0.82038,0.84972,0.81699,0.74334,0.42122,0.64388,0.92465,0.008911,0.008911,0.008911
13,1427.28,0.48624,0.61915,0.89246,0.82259,0.8515,0.82021,0.74815,0.41656,0.6307,0.922,0.008812,0.008812,0.008812
14,1534.6,0.47684,0.59702,0.88748,0.82215,0.85661,0.81933,0.74856,0.41301,0.63072,0.91417,0.008713,0.008713,0.008713
15,1641.87,0.46862,0.58242,0.88453,0.81993,0.86395,0.82198,0.75135,0.40582,0.62656,0.91706,0.008614,0.008614,0.008614
16,1749.17,0.46463,0.57537,0.88288,0.82431,0.86366,0.82202,0.75117,0.40273,0.61528,0.91733,0.008515,0.008515,0.008515
17,1856.41,0.45585,0.55574,0.87947,0.81845,0.86794,0.82144,0.7523,0.39852,0.61111,0.91607,0.008416,0.008416,0.008416
18,1963.74,0.45221,0.54464,0.87791,0.8245,0.86667,0.82287,0.75441,0.39525,0.60399,0.91578,0.008317,0.008317,0.008317
19,2071.06,0.44667,0.53499,0.87504,0.82972,0.86665,0.83031,0.76358,0.39121,0.5993,0.91667,0.008218,0.008218,0.008218
20,2178.49,0.43981,0.52283,0.87263,0.82275,0.87134,0.82773,0.76205,0.38684,0.59837,0.91474,0.008119,0.008119,0.008119
21,2285.85,0.43813,0.51555,0.87109,0.8241,0.87358,0.82836,0.7654,0.38372,0.59923,0.91344,0.00802,0.00802,0.00802
22,2393.18,0.43335,0.5119,0.86922,0.82393,0.87406,0.83008,0.76659,0.38181,0.58588,0.90854,0.007921,0.007921,0.007921
23,2500.56,0.42861,0.50316,0.86686,0.82545,0.87684,0.83059,0.76631,0.37869,0.58855,0.90875,0.007822,0.007822,0.007822
24,2607.92,0.42498,0.49397,0.86681,0.8286,0.86779,0.83075,0.76852,0.37733,0.58437,0.91288,0.007723,0.007723,0.007723
25,2715.41,0.42167,0.48963,0.86388,0.82435,0.87899,0.82991,0.76883,0.37233,0.58261,0.90783,0.007624,0.007624,0.007624
26,2822.78,0.41968,0.48773,0.8637,0.82602,0.87937,0.8315,0.76719,0.37272,0.57771,0.90993,0.007525,0.007525,0.007525
27,2930.14,0.41489,0.48068,0.86107,0.82842,0.87932,0.83356,0.77233,0.37023,0.58041,0.90494,0.007426,0.007426,0.007426
28,3037.55,0.41553,0.4768,0.86038,0.82643,0.88184,0.83128,0.76943,0.36556,0.57618,0.90827,0.007327,0.007327,0.007327
29,3144.97,0.41015,0.47031,0.85791,0.82374,0.88568,0.83329,0.7728,0.36323,0.57391,0.90252,0.007228,0.007228,0.007228
30,3252.31,0.41005,0.46705,0.85837,0.82738,0.88436,0.83444,0.77499,0.36259,0.56716,0.90364,0.007129,0.007129,0.007129
31,3359.67,0.40415,0.46211,0.85684,0.83093,0.87848,0.83287,0.77187,0.36223,0.57479,0.90451,0.00703,0.00703,0.00703
32,3467.06,0.40437,0.45885,0.85649,0.82858,0.88594,0.83498,0.77729,0.35526,0.55896,0.89976,0.006931,0.006931,0.006931
33,3574.38,0.40159,0.45813,0.85498,0.83155,0.8818,0.83343,0.77598,0.35647,0.56151,0.89828,0.006832,0.006832,0.006832
34,3681.74,0.3967,0.44799,0.85199,0.82948,0.88721,0.83551,0.77568,0.35679,0.55888,0.90111,0.006733,0.006733,0.006733
35,3789.15,0.39601,0.44838,0.85311,0.83064,0.88732,0.83391,0.77618,0.35335,0.56045,0.89441,0.006634,0.006634,0.006634
36,3896.44,0.39157,0.44138,0.85105,0.82322,0.89352,0.83506,0.77783,0.34959,0.55744,0.89804,0.006535,0.006535,0.006535
37,4003.9,0.39016,0.44009,0.85024,0.833,0.88683,0.83582,0.77771,0.35145,0.55946,0.89967,0.006436,0.006436,0.006436
38,4111.29,0.39002,0.43719,0.84988,0.83264,0.88695,0.83652,0.77939,0.34768,0.56252,0.89918,0.006337,0.006337,0.006337
39,4218.63,0.38779,0.43366,0.84974,0.82962,0.88909,0.83631,0.77977,0.34616,0.55445,0.90337,0.006238,0.006238,0.006238
40,4326,0.38332,0.42967,0.8473,0.8296,0.89151,0.83666,0.77979,0.34512,0.55382,0.89556,0.006139,0.006139,0.006139
