epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,323.839,0.92191,3.24103,0.90795,0.46353,0.45003,0.41707,0.36041,0.64593,1.7133,0.87444,0.0099935,0.00333117,0.0099935,0.00333117,0.0099935,0.00333117,0.0099935,0.00333117
2,593.802,0.82558,1.59201,0.89147,0.75568,0.67338,0.70196,0.60296,0.59451,0.97749,0.86823,0.0197956,0.00659852,0.0197956,0.00659852,0.0197956,0.00659852,0.0197956,0.00659852
3,848.453,0.80142,1.25193,0.88864,0.78579,0.70682,0.73793,0.63874,0.57221,0.85498,0.85952,0.0293996,0.00979988,0.0293996,0.00979988,0.0293996,0.00979988,0.0293996,0.00979988
4,1097.47,0.73189,1.09686,0.87111,0.80895,0.74888,0.77088,0.67821,0.52341,0.74294,0.84445,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1346.94,0.66549,0.96588,0.8534,0.81718,0.77129,0.78381,0.69801,0.4917,0.68601,0.83434,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1596.9,0.62851,0.89678,0.84487,0.82658,0.78601,0.79601,0.71434,0.47018,0.64905,0.8284,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1845.33,0.60301,0.84624,0.83924,0.8272,0.80267,0.80497,0.7264,0.45481,0.62255,0.82361,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2093.91,0.58243,0.81211,0.83505,0.834,0.80314,0.8094,0.73384,0.44027,0.60536,0.82174,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2342.26,0.56785,0.78675,0.83158,0.82972,0.81208,0.81305,0.74064,0.43047,0.59007,0.81654,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2590.89,0.5557,0.76914,0.82826,0.83544,0.82149,0.81784,0.74538,0.42081,0.57273,0.81677,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2839.42,0.54654,0.75024,0.82634,0.83598,0.8223,0.81999,0.74802,0.41763,0.56502,0.81604,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3087.99,0.53554,0.73725,0.82457,0.83204,0.83175,0.824,0.75482,0.40796,0.55385,0.81427,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,3336.43,0.52711,0.72145,0.82197,0.83468,0.83585,0.8258,0.75893,0.4021,0.54709,0.8133,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,3584.89,0.52019,0.71338,0.82077,0.83788,0.83836,0.83042,0.7641,0.39636,0.53819,0.81048,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,3833.44,0.51565,0.70539,0.81927,0.83985,0.83785,0.83039,0.76585,0.38999,0.53313,0.81036,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,4081.85,0.50839,0.69595,0.81789,0.84191,0.84037,0.83164,0.76757,0.38665,0.52751,0.8105,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,4330.33,0.50447,0.68754,0.81788,0.84155,0.84425,0.83333,0.77058,0.37986,0.51996,0.80874,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,4578.65,0.49924,0.6822,0.81666,0.84481,0.84459,0.83554,0.77391,0.37542,0.51625,0.8072,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,4827.07,0.49269,0.67291,0.81489,0.84408,0.84755,0.83648,0.77572,0.37194,0.5129,0.80727,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,5075.52,0.49037,0.67056,0.81502,0.84263,0.85069,0.83666,0.77663,0.36994,0.50899,0.80742,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,5324.37,0.48618,0.66528,0.81366,0.84427,0.85271,0.83879,0.77981,0.3664,0.50427,0.80634,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,5573.06,0.48143,0.66035,0.8132,0.84662,0.85206,0.83954,0.7812,0.36338,0.50089,0.80573,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,5821.53,0.47938,0.65494,0.81248,0.84595,0.85442,0.84118,0.78415,0.35907,0.49692,0.80487,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,6070.1,0.47583,0.65299,0.81186,0.84733,0.85437,0.84286,0.78604,0.35699,0.4951,0.80461,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,6318.78,0.47281,0.64783,0.81137,0.84787,0.85593,0.84323,0.7871,0.35501,0.49336,0.80399,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,6567.39,0.46969,0.64559,0.81062,0.84753,0.85827,0.84477,0.78899,0.35172,0.48944,0.80416,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,6816.03,0.46702,0.64144,0.81044,0.84607,0.86103,0.84473,0.79027,0.34977,0.48785,0.80387,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,7064.64,0.46476,0.63615,0.80965,0.84762,0.86324,0.84612,0.79165,0.34731,0.48431,0.80367,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,7313.17,0.46073,0.63339,0.80939,0.84991,0.85988,0.84653,0.79195,0.34523,0.48261,0.80296,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,7561.72,0.45936,0.63115,0.80877,0.85033,0.86034,0.84728,0.79338,0.34312,0.4809,0.80282,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,7810.47,0.45883,0.63122,0.80871,0.84961,0.86017,0.84829,0.79487,0.34192,0.47931,0.80312,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,8059.03,0.45427,0.62341,0.80774,0.84857,0.8635,0.84918,0.79569,0.34052,0.47664,0.80287,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,8307.66,0.45234,0.62269,0.80711,0.84775,0.86576,0.84975,0.79711,0.3383,0.47484,0.80206,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,8556.06,0.44893,0.6182,0.8068,0.84961,0.86388,0.84997,0.79775,0.33626,0.47354,0.80183,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,8804.64,0.4459,0.61478,0.80627,0.84896,0.8653,0.85004,0.79788,0.33475,0.4724,0.80173,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,9053.26,0.44463,0.61165,0.80629,0.84962,0.86479,0.85004,0.79855,0.33349,0.47095,0.80159,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,9301.92,0.4428,0.61048,0.80597,0.8478,0.86731,0.85024,0.7989,0.33241,0.46965,0.80151,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,9550.29,0.43956,0.6053,0.80503,0.84971,0.86575,0.85091,0.80007,0.33102,0.46893,0.80099,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,9798.95,0.43858,0.60467,0.80459,0.84777,0.86868,0.85141,0.80084,0.32997,0.46794,0.80099,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,10047.6,0.4382,0.60511,0.80485,0.84505,0.87169,0.85154,0.8015,0.32895,0.46734,0.8008,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,10296.2,0.43439,0.59734,0.80406,0.84599,0.87121,0.85218,0.802,0.32788,0.46643,0.80084,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,10544.9,0.43381,0.59776,0.80406,0.84627,0.87139,0.85236,0.80255,0.32693,0.46579,0.80072,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,10793.7,0.43333,0.59777,0.80347,0.84545,0.87222,0.85292,0.8032,0.32607,0.46446,0.80082,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,11042.3,0.42942,0.59257,0.80353,0.84527,0.87329,0.85326,0.80371,0.32512,0.46358,0.80079,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,11290.9,0.42739,0.59186,0.80301,0.84572,0.87311,0.85364,0.80437,0.32437,0.46278,0.80086,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,11539.5,0.42591,0.58889,0.8023,0.84552,0.87296,0.85416,0.80482,0.32347,0.46206,0.80081,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,11788.3,0.42501,0.58678,0.80258,0.84586,0.87341,0.85468,0.80552,0.32287,0.46154,0.80077,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,12037,0.42281,0.58564,0.80222,0.84593,0.87371,0.8552,0.8062,0.32216,0.46097,0.80083,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,12285.5,0.42166,0.58388,0.80222,0.84445,0.87526,0.85539,0.80673,0.32156,0.46049,0.80074,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,12534.4,0.4219,0.58583,0.80213,0.84465,0.87541,0.85544,0.80688,0.32092,0.45998,0.80076,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
