epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.075,2.94884,5.93768,1.78928,0.16253,0.12149,0.05375,0.01424,2.41447,4.36058,1.41868,4.81886e-05,4.81886e-05,4.81886e-05
2,116.923,2.14652,3.50195,1.33468,0.60567,0.54725,0.55266,0.29659,1.7298,1.58899,1.33031,9.55664e-05,9.55664e-05,9.55664e-05
3,170.653,1.67822,1.86724,1.24052,0.79186,0.6565,0.73563,0.43473,1.45209,1.14234,1.21117,0.000141987,0.000141987,0.000141987
4,225.392,1.48775,1.49496,1.17033,0.85233,0.71372,0.80118,0.49952,1.3212,0.96115,1.1687,0.000140693,0.000140693,0.000140693
5,278.865,1.39495,1.30159,1.12567,0.87902,0.74382,0.83392,0.53071,1.26322,0.88625,1.13375,0.000139258,0.000139258,0.000139258
6,332.257,1.31062,1.16966,1.07818,0.88864,0.76716,0.84888,0.5523,1.20079,0.80958,1.10752,0.000137822,0.000137822,0.000137822
7,384.683,1.26449,1.09023,1.06892,0.89177,0.77574,0.85811,0.565,1.17427,0.77221,1.09182,0.000136387,0.000136387,0.000136387
8,437.051,1.23447,1.03699,1.05475,0.9159,0.78902,0.87506,0.58494,1.13154,0.73092,1.06945,0.000134951,0.000134951,0.000134951
9,489.431,1.19147,0.97803,1.04622,0.92207,0.79691,0.8783,0.59365,1.12005,0.71137,1.07086,0.000133516,0.000133516,0.000133516
10,541.806,1.17634,0.93435,1.03354,0.92978,0.80481,0.88303,0.60586,1.08222,0.68565,1.05191,0.000132081,0.000132081,0.000132081
11,594.188,1.15445,0.8973,1.02128,0.94186,0.8026,0.89186,0.6137,1.07122,0.66786,1.0469,0.000130645,0.000130645,0.000130645
12,646.616,1.12791,0.86399,1.00942,0.94,0.80853,0.89229,0.61854,1.06524,0.659,1.04733,0.00012921,0.00012921,0.00012921
